"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"COLO 205",156,"COLO205","ccle;public","large_intestine","carcinoma","adenocarcinoma","COLO 205","Bowel","Colon adenocarcinoma","CVCL_0218","COLO205_221_2019","large_intestine","Cancer cell line",TRUE
"COLO 320HSR",157,"COLO320","ccle;public","large_intestine","carcinoma","adenocarcinoma","COLO 320HSR","Bowel","Colon adenocarcinoma","CVCL_0220","COLO320HSR_223_2019","large_intestine","Cancer cell line",NA
"COLO 668",158,"COLO668","ccle;public","lung","carcinoma","small_cell_carcinoma","COLO 668","Lung","Small cell lung carcinoma","CVCL_1128","COLO668_224_2019","lung","Cancer cell line",TRUE
"COLO 678",160,"COLO678","ccle;public","large_intestine","carcinoma","adenocarcinoma","COLO 678","Bowel","Colon carcinoma","CVCL_1129","COLO678_226_2019","large_intestine","Cancer cell line",TRUE
"COLO 680N",162,"COLO680N","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","COLO 680N","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1131","COLO680N_228_2019","oesophagus","Cancer cell line",NA
"COLO 684",163,"COLO684","ccle;public","endometrium","carcinoma","adenocarcinoma","COLO 684","Uterus","Endometrial adenocarcinoma","CVCL_1132","COLO684_229_2019","endometrium","Cancer cell line",NA
"COLO 699",164,"COLO699","public","","","","COLO 699","Lung","Lung adenocarcinoma","CVCL_1992","COLO699_230_2019","lung","Cancer cell line",TRUE
"COLO 741",166,"COLO741","ccle;public","skin","malignant_melanoma","","COLO 741","Skin","Melanoma","CVCL_1133","COLO741_232_2019","large_intestine","Cancer cell line",TRUE
"COLO 792",169,"COLO792","ccle;public","skin","malignant_melanoma","","COLO 792","Skin","Melanoma","CVCL_1134","COLO792_234_2019","skin","Cancer cell line",TRUE
"COLO 800",170,"COLO800","ccle;public","skin","malignant_melanoma","","COLO 800","Skin","Cutaneous melanoma","CVCL_1135","COLO800_235_2019","skin","Cancer cell line",TRUE
"COLO 829",172,"COLO829","ccle;public","skin","malignant_melanoma","","COLO 829","Skin","Cutaneous melanoma","CVCL_1137","COLO829_238_2019","skin","Cancer cell line",NA
"COR-L105",174,"CORL105","ccle;public","lung","carcinoma","adenocarcinoma","COR-L105","Lung","Lung adenocarcinoma","CVCL_1138","CORL105_240_2019","lung","Cancer cell line",TRUE
"COR-L279",178,"CORL279","ccle;public","lung","carcinoma","small_cell_carcinoma","COR-L279","Lung","Small cell lung carcinoma","CVCL_1140","CORL279_244_2019","lung","Cancer cell line",TRUE
"COR-L47",180,"CORL47","ccle;public","lung","carcinoma","small_cell_carcinoma","COR-L47","Lung","Small cell lung carcinoma","CVCL_2415","CORL47_249_2019","lung","Cancer cell line",TRUE
"COR-L51",181,"CORL51","ccle;public","lung","carcinoma","small_cell_carcinoma","COR-L51","Lung","Small cell lung carcinoma","CVCL_2416","CORL51_250_2019","lung","Cancer cell line",TRUE
"COR-L88",182,"CORL88","ccle;public","lung","carcinoma","small_cell_carcinoma","COR-L88","Lung","Small cell lung carcinoma","CVCL_1141","CORL88_251_2019","lung","Cancer cell line",TRUE
"COR-L95",183,"CORL95","ccle;public","lung","carcinoma","small_cell_carcinoma","COR-L95","Lung","Small cell lung carcinoma","CVCL_2418","CORL95_252_2019","lung","Cancer cell line",NA
"COV362",185,"COV362","ccle;public","ovary","carcinoma","","COV362","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_2420","COV362_254_2019","ovary","Cancer cell line",TRUE
"COV434",186,"COV434","ccle;public","ovary","sex_cord_stromal_tumor","granulosa_cell_tumor","COV434","Ovary/Fallopian Tube","Ovarian granulosa cell tumor","CVCL_2010","COV434_257_2019","ovary","Cancer cell line",NA
"COV644",188,"COV644","ccle;public","ovary","carcinoma","","COV644","Ovary/Fallopian Tube","Ovarian carcinoma","CVCL_2425","COV644_259_2019","ovary","Cancer cell line",NA
"CW-2",190,"CW2","ccle;public","large_intestine","carcinoma","","CW-2","Bowel","Colon adenocarcinoma","CVCL_1151","CW2_269_2019","large_intestine","Cancer cell line",NA
"D283 Med",193,"D283MED","ccle;public","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma","","D283 Med","CNS/Brain","Medulloblastoma","CVCL_1155","D283MED_273_2019","central_nervous_system","Cancer cell line",NA
"DAN-G",201,"DANG","ccle;public","pancreas","carcinoma","","DAN-G","Pancreas","Pancreatic adenocarcinoma","CVCL_0243","DANG_281_2019","pancreas","Cancer cell line",NA
"Daoy",202,"DAOY","ccle;public","central_nervous_system","primitive_neuroectodermal_tumor_medulloblastoma","","Daoy","CNS/Brain","Medulloblastoma","CVCL_1167","Daoy_282_2019","central_nervous_system","Cancer cell line",NA
"Daudi",203,"DAUDI","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","Daudi","Lymphoid","Epstein-Barr virus-related Burkitt lymphoma","CVCL_0008","Daudi_283_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"DB",204,"DB","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","DB","Lymphoid","Diffuse large B-cell lymphoma","CVCL_1168","DB_284_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"DBTRG-05MG",205,"DBTRG05MG","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","DBTRG-05MG","CNS/Brain","Glioblastoma","CVCL_1169","DBTRG05MG_285_2019","central_nervous_system","Cancer cell line",NA
"DEL",206,"DEL","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","","DEL","Lymphoid","Anaplastic large cell lymphoma","CVCL_1170","DEL_286_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Detroit 562",208,"DETROIT562","ccle;public","upper_aerodigestive_tract","carcinoma","","Detroit 562","Head and Neck","Pharyngeal squamous cell carcinoma","CVCL_1171","Detroit562_288_2019","upper_aerodigestive_tract","Cancer cell line",TRUE
"DK-MG",211,"DKMG","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","DK-MG","CNS/Brain","Glioblastoma","CVCL_1173","DKMG_293_2019","central_nervous_system","Cancer cell line",NA
"DLD-1",212,"DLD1","ccle;public","large_intestine","carcinoma","adenocarcinoma","DLD-1","Bowel","Colon adenocarcinoma","CVCL_0248","DLD1_294_2019","large_intestine","Cancer cell line",NA
"DMS 114",215,"DMS114","ccle;public","lung","carcinoma","small_cell_carcinoma","DMS 114","Lung","Small cell lung carcinoma","CVCL_1174","DMS114_297_2019","lung","Cancer cell line",NA
"DMS 273",217,"DMS273","ccle;public","lung","carcinoma","small_cell_carcinoma","DMS 273","Lung","Small cell lung carcinoma","CVCL_1176","DMS273_299_2019","lung","Cancer cell line",TRUE
"DMS 454",218,"DMS454","ccle;public","lung","carcinoma","small_cell_carcinoma","DMS 454","Lung","Small cell lung carcinoma","CVCL_2438","DMS454_296_2019","lung","Cancer cell line",NA
"DMS 53",219,"DMS53","ccle;public","lung","carcinoma","small_cell_carcinoma","DMS 53","Lung","Small cell lung carcinoma","CVCL_1177","DMS53_300_2019","lung","Cancer cell line",NA
"DMS 79",220,"DMS79","ccle;public","lung","carcinoma","small_cell_carcinoma","DMS 79","Lung","Small cell lung carcinoma","CVCL_1178","DMS79_301_2019","lung","Cancer cell line",TRUE
"DND-41",221,"DND41","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","DND-41","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_2022","DND41_302_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"DoHH2",222,"DOHH2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","DoHH2","Lymphoid","Diffuse large B-cell lymphoma germinal center B-cell type","CVCL_1179","DOHH2_303_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"DOV13",223,"DOV13","public","","","","DOV13","Ovary/Fallopian Tube","Ovarian adenocarcinoma","CVCL_6774","DOR13_305_2019","ovary","Cancer cell line",NA
"DU145",225,"DU145","ccle;public","prostate","carcinoma","","DU145","Prostate","Prostate carcinoma","CVCL_0105","DU145_309_2019","prostate","Cancer cell line",TRUE
"DU4475",226,"DU4475","ccle;public","breast","carcinoma","ductal_carcinoma","DU4475","Breast","Breast carcinoma","CVCL_1183","DU4475_310_2019","breast","Cancer cell line",TRUE
"DV-90",227,"DV90","ccle;public","lung","carcinoma","adenocarcinoma","DV-90","Lung","Lung adenocarcinoma","CVCL_1184","DV90_311_2019","lung","Cancer cell line",TRUE
"EB1",228,"EB1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","EB1","Lymphoid","Epstein-Barr virus-related Burkitt lymphoma","CVCL_2027","EB1_313_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"EBC-1",230,"EBC1","ccle;public","lung","carcinoma","squamous_cell_carcinoma","EBC-1","Lung","Squamous cell lung carcinoma","CVCL_2891","EBC1_315_2019","lung","Cancer cell line",TRUE
"EC-GI-10",233,"ECGI10","ccle;public","oesophagus","carcinoma","","EC-GI-10","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1187","ECGI10_316_2019","oesophagus","Cancer cell line",NA
"ECC10",231,"ECC10","ccle;public","stomach","carcinoma","small_cell_adenocarcinoma","ECC10","Esophagus/Stomach","Gastric small cell neuroendocrine carcinoma","CVCL_1188","ECC10_317_2019","stomach","Cancer cell line",NA
"ECC12",232,"ECC12","ccle;public","stomach","carcinoma","small_cell_adenocarcinoma","ECC12","Esophagus/Stomach","Gastric small cell neuroendocrine carcinoma","CVCL_1189","ECC12_318_2019","stomach","Cancer cell line",NA
"EFE-184",234,"EFE184","ccle;public","endometrium","carcinoma","","EFE-184","Uterus","Endometrial carcinoma","CVCL_1191","EFE184_320_2019","endometrium","Cancer cell line",TRUE
"EFM-192A",236,"EFM192A","ccle;public","breast","carcinoma","","EFM-192A","Breast","Breast carcinoma","CVCL_1812","EFM192A_322_2019","breast","Cancer cell line",TRUE
"EFO-21",237,"EFO21","ccle;public","ovary","carcinoma","serous_carcinoma","EFO-21","Ovary/Fallopian Tube","Ovarian cystadenocarcinoma","CVCL_0029","EFO21_325_2019","ovary","Cancer cell line",TRUE
"EFO-27",238,"EFO27","ccle;public","ovary","carcinoma","mucinous_carcinoma","EFO-27","Ovary/Fallopian Tube","Ovarian mucinous adenocarcinoma","CVCL_1192","EFO27_326_2019","ovary","Cancer cell line",TRUE
"EHEB",239,"EHEB","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma","EHEB","Lymphoid",NA,"CVCL_1194","EHEB_328_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"EJM",240,"EJM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","EJM","Lymphoid","Plasma cell myeloma","CVCL_2030","EJM_329_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"EKVX",241,"EKVX","public","","","","EKVX","Lung","Lung adenocarcinoma","CVCL_1195","EKVX_330_2019","lung","Cancer cell line",NA
"EM-2",242,"EM2","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","EM-2","Myeloid","Childhood chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_1196","EM2_331_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"EN",243,"EN","ccle;public","endometrium","carcinoma","","EN","Uterus","Endometrial carcinoma","CVCL_2034","EN_334_2019","endometrium","Cancer cell line",NA
"EoL-1",244,"EOL1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","EoL-1","Myeloid","Chronic eosinophilic leukemia, not otherwise specified","CVCL_0258","EoL1cell_335_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"EPLC-272H",246,"EPLC272H","ccle;public","lung","carcinoma","squamous_cell_carcinoma","EPLC-272H","Lung","Lung mucoepidermoid carcinoma","CVCL_1197","EPLC272H_336_2019","lung","Cancer cell line",NA
"ES-2",247,"ES2","ccle;public","ovary","carcinoma","clear_cell_carcinoma","ES-2","Ovary/Fallopian Tube","Ovarian clear cell adenocarcinoma","CVCL_3509","ES2_337_2019","ovary","Cancer cell line",NA
"ESS-1",248,"ESS1","ccle;public","endometrium","carcinoma","carcinosarcoma; malignant_mesodermal_mixed_tumor","ESS-1","Uterus","Endometrioid stromal sarcoma","CVCL_1205","ESS1_347_2019","endometrium","Cancer cell line",NA
"F-36P",253,"F36P","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","F-36P","Myeloid","Myelodysplastic syndrome","CVCL_2037","F36P_363_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"FaDu",255,"FADU","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","FaDu","Head and Neck","Hypopharyngeal squamous cell carcinoma","CVCL_1218","FADU_365_2019","upper_aerodigestive_tract","Cancer cell line",NA
"FTC-133",257,"FTC133","ccle;public","thyroid","carcinoma","follicular_carcinoma","FTC-133","Thyroid","Thyroid gland follicular carcinoma","CVCL_1219","FTC133_368_2019","thyroid","Cancer cell line",NA
"FTC-238",258,"FTC238","ccle;public","thyroid","carcinoma","follicular_carcinoma","FTC-238","Thyroid","Thyroid gland follicular carcinoma","CVCL_2447","FTC238_369_2019","thyroid","Cancer cell line",TRUE
"FU-OV-1",261,"FUOV1","ccle;public","ovary","carcinoma","serous_carcinoma","FU-OV-1","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_2047","FUOV1_370_2019","ovary","Cancer cell line",NA
"Fu97",259,"FU97","ccle;public","stomach","carcinoma","diffuse_adenocarcinoma","Fu97","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_2908","FU97_371_2019","stomach","Cancer cell line",NA
"G-292 clone A141B1",262,"G292CLONEA141B1","ccle;public","bone","osteosarcoma","","G-292 clone A141B1","Bone","Osteosarcoma","CVCL_2909","G292,cloneA141B1_372_2019","bone","Cancer cell line",NA
"G-361",263,"G361","ccle;public","skin","malignant_melanoma","","G-361","Skin","Melanoma","CVCL_1220","G361_373_2019","skin","Cancer cell line",NA
"G-401",264,"G401","ccle;public","soft_tissue","rhabdoid_tumor","","G-401","Kidney","Rhabdoid tumor of the kidney","CVCL_0270","G401_374_2019","soft_tissue","Cancer cell line",NA
"G-402",265,"G402","ccle;public","soft_tissue","rhabdoid_tumor","","G-402","Soft Tissue","Epithelioid cell type gastrointestinal stromal tumor","CVCL_1221","G402_375_2019","soft_tissue","Cancer cell line",NA
"GA-10",266,"GA10","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","GA-10","Lymphoid","Burkitt lymphoma","CVCL_1222","GA10_395_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"GaMG",268,"GAMG","ccle;public","central_nervous_system","glioma","","GaMG","CNS/Brain","Glioblastoma","CVCL_1226","GAMG_398_2019","central_nervous_system","Cancer cell line",NA
"GB-1",269,"GB1","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","GB-1","CNS/Brain","Glioblastoma","CVCL_1227","GB1_399_2019","central_nervous_system","Cancer cell line",NA
"GCT",271,"GCT","ccle;public","soft_tissue","malignant_fibrous_histiocytoma_pleomorphic_sarcoma","","GCT","Soft Tissue","Undifferentiated pleomorphic sarcoma","CVCL_1229","GCT_401_2019","soft_tissue","Cancer cell line",TRUE
"GDM-1",272,"GDM1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","GDM-1","Myeloid","Adult acute myeloid leukemia","CVCL_1230","GDM1_402_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"GI-1",274,"GI1","ccle;public","central_nervous_system","glioma","gliosarcoma","GI-1","CNS/Brain","Gliosarcoma","CVCL_1231","GI1_404_2019","central_nervous_system","Cancer cell line",NA
"GMS-10",280,"GMS10","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","GMS-10","CNS/Brain","Glioblastoma","CVCL_1233","GMS10_407_2019","central_nervous_system","Cancer cell line",NA
"GOS-3",281,"GOS3","ccle;public","central_nervous_system","glioma","astrocytoma","GOS-3","CNS/Brain","Glioblastoma","CVCL_2050","GOS3_408_2019","central_nervous_system","Cancer cell line",NA
"GP2d",282,"GP2D","ccle;public","large_intestine","carcinoma","adenocarcinoma","GP2d","Bowel","Colon adenocarcinoma","CVCL_2450","Gp2D_410_2019","large_intestine","Cancer cell line",NA
"Granta-519",283,"GRANTA519","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","mantle_cell_lymphoma","Granta-519","Lymphoid","Mantle cell lymphoma","CVCL_1818","GRANTA519_414_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"GSS",285,"GSS","ccle;public","stomach","carcinoma","adenocarcinoma","GSS","Esophagus/Stomach","Gastric carcinoma","CVCL_8876","GSS_415_2019","stomach","Cancer cell line",TRUE
"GSU",286,"GSU","ccle;public","stomach","carcinoma","adenocarcinoma","GSU","Esophagus/Stomach","Gastric carcinoma","CVCL_8877","GSU_416_2019","stomach","Cancer cell line",TRUE
"H-STS",444,"HSTS","collaborator","","","","H-STS","Bowel","Midgut carcinoid tumor","CVCL_L296","HSTS_623_2019",NA,"Cancer cell line",TRUE
"HARA [Human squamous cell lung carcinoma]",293,"HARA","ccle;public","lung","carcinoma","squamous_cell_carcinoma","HARA [Human squamous cell lung carcinoma]","Lung","Squamous cell lung carcinoma","CVCL_2914","HARA_442_2019","breast","Cancer cell line",TRUE
"HCC-56",337,"HCC56","ccle;public","large_intestine","carcinoma","adenocarcinoma","HCC-56","Bowel","Colon adenocarcinoma","CVCL_2917","HCC56_460_2019","large_intestine","Cancer cell line",NA
"HCC1143",295,"HCC1143","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1143","Breast","Ductal breast carcinoma","CVCL_1245","HCC1143_466_2019","breast","Cancer cell line",NA
"HCC1171",296,"HCC1171","ccle;public","lung","carcinoma","non_small_cell_carcinoma","HCC1171","Lung","Lung adenocarcinoma","CVCL_5126","HCC1171_446_2019","lung","Cancer cell line",NA
"HCC1195",298,"HCC1195","ccle;public","lung","carcinoma","mixed_adenosquamous_carcinoma","HCC1195","Lung","Adenosquamous lung carcinoma","CVCL_5127","HCC1195_447_2019","lung","Cancer cell line",NA
"HCC1395",300,"HCC1395","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1395","Breast","Ductal breast carcinoma","CVCL_1249","HCC1395_473_2019","breast","Cancer cell line",NA
"HCC1419",301,"HCC1419","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1419","Breast","Ductal breast carcinoma","CVCL_1251","HCC1419_474_2019","breast","Cancer cell line",NA
"HCC1428",302,"HCC1428","ccle;public","breast","carcinoma","","HCC1428","Breast","Breast adenocarcinoma","CVCL_1252","HCC1428_475_2019","breast","Cancer cell line",TRUE
"HCC1438",303,"HCC1438","ccle;public","lung","carcinoma","large_cell_carcinoma","HCC1438","Lung","Large cell lung carcinoma","CVCL_L088","HCC1438_449_2019","lung","Cancer cell line",NA
"HCC15",304,"HCC15","ccle;public","lung","carcinoma","squamous_cell_carcinoma","HCC15","Lung","Squamous cell lung carcinoma","CVCL_2057","HCC15_450_2019","lung","Cancer cell line",NA
"HCC1500",305,"HCC1500","ccle;public","breast","carcinoma","ductal_carcinoma","HCC1500","Breast","Ductal breast carcinoma","CVCL_1254","HCC1500_478_2019","breast","Cancer cell line",NA
"HCC1569",306,"HCC1569","ccle;public","breast","carcinoma","metaplastic_carcinoma","HCC1569","Breast","Ductal breast carcinoma","CVCL_1255","HCC1569_480_2019","breast","Cancer cell line",NA
"HCC1588",307,"HCC1588","ccle;public","lung","carcinoma","squamous_cell_carcinoma","HCC1588","Lung","Squamous cell lung carcinoma","CVCL_A351","HCC1588_451_2019","lung","Cancer cell line",NA
